instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzVNS_HCSRP_200_10.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_10.log,TL,7200.18,312677,499,5.4022642189e+02,1.4700153833e+03,480204,388723,8068716
InstanzVNS_HCSRP_100_6.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_100_6.log,TL,7200.01,373448,581,4.0453419517e+02,8.1402021000e+02,68785,56896,844220
InstanzCPLEX_HCSRP_50_2.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_2.log,TL,7200.00,13933123,46361,3.7743789810e+02,5.7785348083e+02,9269,7680,82121
InstanzVNS_HCSRP_300_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_9.log,TL,7200.56,184287,100,6.3739937913e+02,2.1205099167e+03,1242334,989738,25521948
InstanzCPLEX_HCSRP_75_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_9.log,TL,7200.00,2954673,2570,3.8759104434e+02,7.1585312150e+02,27242,23009,281196
InstanzCPLEX_HCSRP_50_10.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_10.log,TL,7200.00,15094050,64989,4.4982964287e+02,6.0147120937e+02,8287,6789,71351
InstanzCPLEX_HCSRP_25_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_25_9.log,TL,7200.00,54441841,748709,3.3690339068e+02,4.0267063677e+02,1903,1589,13178
InstanzCPLEX_HCSRP_75_4.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_4.log,TL,7200.00,3744658,4927,4.0845811659e+02,8.2278899910e+02,26217,22035,255649
InstanzVNS_HCSRP_200_8.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_8.log,TL,7200.17,206584,532,5.3292301366e+02,1.1691810800e+03,412330,331897,7046806
InstanzCPLEX_HCSRP_10_2.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_10_2.log,OPT,0.13,2265,463,2.4662617517e+02,2.4662617517e+02,180,150,801
InstanzCPLEX_HCSRP_75_10.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_10.log,TL,7200.03,7472231,9013,4.7933939127e+02,1.2030369144e+03,21975,18509,214924
InstanzVNS_HCSRP_300_2.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_300_2.log,TL,7200.22,152025,500,6.0060769889e+02,2.0838907200e+03,1461905,1170650,30222441
InstanzVNS_HCSRP_200_3.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_3.log,TL,7200.17,137197,479,5.4161399177e+02,1.3278925000e+03,419146,342596,6827280
InstanzVNS_HCSRP_200_1.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzVNS_HCSRP_200_1.log,TL,7200.68,468059,519,5.4673750853e+02,1.5041152867e+03,415439,338619,6742766
InstanzCPLEX_HCSRP_75_1.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_75_1.log,TL,7200.04,3892450,6223,5.1436360934e+02,1.1994723149e+03,32110,26509,335994
InstanzCPLEX_HCSRP_50_9.txt,logs-cplex-softcut-CUT-1thread-warmstart/logs/InstanzCPLEX_HCSRP_50_9.log,TL,7200.00,14940345,44903,3.6154620712e+02,5.4246274867e+02,11059,9108,101356
