instance,logfile,status,time,iters,nodes,lb,ub,rows,cols,nzz
InstanzCPLEX_HCSRP_50_8.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_8.log,TL,7200.06,26153699,552188,3.7144168327e+02,4.7449398243e+02,9061,7691,76898
InstanzVNS_HCSRP_300_9.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_300_9.log,OOM-BC,NA,63354,0,459.3027,NA,1240580,989738,25518440
InstanzCPLEX_HCSRP_50_2.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_2.log,TL,7204.00,18659681,868678,3.6514701642e+02,7.5029692653e+02,9269,7680,82244
InstanzCPLEX_HCSRP_75_9.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_9.log,TL,7204.89,7935019,113172,3.8358828281e+02,7.5028021581e+03,27242,23009,281230
InstanzCPLEX_HCSRP_50_10.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_10.log,TL,7200.06,32244665,791868,4.1887726409e+02,5.9921110740e+02,8283,6789,71343
InstanzCPLEX_HCSRP_25_9.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_25_9.log,TL,7209.52,153936256,3232215,3.3040581369e+02,4.0373219113e+02,1903,1589,27095
InstanzCPLEX_HCSRP_75_4.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_4.log,TL,7202.87,10181390,68805,4.1920806930e+02,NA,26216,22035,255855
InstanzVNS_HCSRP_200_8.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_200_8.log,TL,7222.24,948666,5129,5.0701562089e+02,NA,412330,331897,7046806
InstanzCPLEX_HCSRP_75_10.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_10.log,TL,7200.04,13610170,86173,4.7202111751e+02,NA,21974,18509,215176
InstanzCPLEX_HCSRP_10_2.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_10_2.log,OPT,0.15,7190,974,2.4662617517e+02,2.4662617517e+02,174,150,789
InstanzVNS_HCSRP_300_2.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_300_2.log,OOM-PRESOLVE,NA,NA,NA,NA,NA,1461905,1170650,30222441
InstanzVNS_HCSRP_200_3.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_200_3.log,TL,7202.99,1460244,8146,5.2023962083e+02,NA,419146,342596,6827280
InstanzVNS_HCSRP_200_1.txt,logs-cplex-defaults-mem-emphasis/InstanzVNS_HCSRP_200_1.log,OOM-BC,4751.41,422930,1607,518.9027,NA,415439,338619,6742766
InstanzCPLEX_HCSRP_75_1.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_75_1.log,TL,7203.72,9974131,157034,4.8954971016e+02,NA,32109,26509,335992
InstanzCPLEX_HCSRP_50_9.txt,logs-cplex-defaults-mem-emphasis/InstanzCPLEX_HCSRP_50_9.log,TL,7203.98,26812579,711903,3.4630712327e+02,6.2233292987e+02,11059,9108,101846
